kod;cena;supplierId;typeid;nazov;balenie;
1223201-010-01-999;5.29;8;9;RAVENOL Getriebeoel EPX SAE 80W GL-5 - 10 L;plast;
1223201-B20-01-888;5.29;8;9;RAVENOL Getriebeoel EPX SAE 80W GL-5 - 20 L Bag in Box;bag;
1223105-001-01-999;5.29;8;9;RAVENOL Getriebeoel MZG SAE 80W-90 GL-4 - 1 L (VE 12 Stück);1 L;
1223105-004-01-999;5.29;8;9;RAVENOL Getriebeoel MZG SAE 80W-90 GL-4 - 4 L (VE 4 Stück);4 L;
1223105-010-01-999;5.29;8;9;RAVENOL Getriebeoel MZG SAE 80W-90 GL-4 - 10 L;plast;
1223105-B20-01-888;5.29;8;9;RAVENOL Getriebeoel MZG SAE 80W-90 GL-4 - 20 L Bag in Box;bag;
1223205-001-01-999;6.29;8;9;RAVENOL Getriebeoel EPX SAE 80W-90 GL-5 - 1 L (VE 12 Stück);1 L;
1223205-004-01-999;6.29;8;9;RAVENOL Getriebeoel EPX SAE 80W-90 GL-5 - 4 L (VE 4 Stück);4 L;
1223205-010-01-999;6.29;8;9;RAVENOL Getriebeoel EPX SAE 80W-90 GL-5 - 10 L;plast;
1223205-B20-01-888;6.29;8;9;RAVENOL Getriebeoel EPX SAE 80W-90 GL-5 - 20 L Bag in Box;bag;
1223305-001-01-999;6.99;8;9;RAVENOL Getriebeoel SLG SAE 80W-90 - 1 L (VE 12 Stück);1 L;
1223305-004-01-999;6.66;8;9;RAVENOL Getriebeoel SLG SAE 80W-90 - 4 L (VE 4 Stück);4 L;
1223305-010-01-999;6.5;8;9;RAVENOL Getriebeoel SLG SAE 80W-90 - 10 L;plast;
1223305-B20-01-888;6.5;8;9;RAVENOL Getriebeoel SLG SAE 80W-90 - 20 L Bag in Box;bag;
1222201-001-01-999;7.39;8;9;RAVENOL Getriebeoel SGO SAE 80W-140 GL-5 - 1 L (VE 12 Stück);1 L;
1222201-004-01-999;7.39;8;9;RAVENOL Getriebeoel SGO SAE 80W-140 GL-5 - 4 L (VE 4 Stück);4 L;
1222201-B20-01-888;7.39;8;9;RAVENOL Getriebeoel SGO SAE 80W-140 GL-5 - 20 L Bag in Box;bag;
1223206-004-01-999;5.99;8;9;RAVENOL Getriebeoel EPX SAE 85W-90 GL-5 - 4 L (VE 4 Stück);4 L;
1223206-B20-01-888;5.69;8;9;RAVENOL Getriebeoel EPX SAE 85W-90 GL-5 - 20 L Bag in Box;bag;
1223301-001-01-999;5.99;8;9;RAVENOL Sperrdiff. Hyp. Getr.öl LS SAE 85W-90 GL-5 - 1 L (VE 12 Stück);1 L;
1223301-004-01-999;5.69;8;9;RAVENOL Sperrdiff. Hyp. Getr.öl LS SAE 85W-90 GL-5 - 4 L (VE 4 Stück); 4 L;
1223301-B20-01-888;5.5;8;9;RAVENOL Sperrdiff. Hyp. Getr.öl LS SAE 85W-90 GL-5 - 20 L Bag in Box;bag;
1223211-001-01-999;6.49;8;9;RAVENOL Getriebeoel EPX SAE 85W-140 GL-5 - 1 L (VE 12 Stück);1 L;
1223211-004-01-999;6.49;8;9;RAVENOL Getriebeoel EPX SAE 85W-140 GL-5 - 4 L (VE 4 Stück);4 L;
1223211-010-01-999;6.49;8;9;RAVENOL Getriebeoel EPX SAE 85W-140 GL-5 - 10 L;plast;
1223211-B20-01-888;6.49;8;9;RAVENOL Getriebeoel EPX SAE 85W-140 GL-5 - 20 L Bag in Box;bag;
1223202-001-01-999;6.29;8;9;RAVENOL Getriebeoel EPX SAE 90W GL-5 - 1 L (VE 12 Stück);1 L;
1223202-004-01-999;6.29;8;9;RAVENOL Getriebeoel EPX SAE 90 GL-5 - 4 L (VE 4 Stück);4 L;
1223202-010-01-999;6.29;8;9;RAVENOL Getriebeoel EPX SAE 90 GL-5 - 10 L;plast;
1223202-B20-01-888;6.29;8;9;RAVENOL Getriebeoel EPX SAE 90 GL-5 - 20 L Bag in Box;bag;
1223302-001-01-999;6.99;8;9;RAVENOL Sperrdiff.-Getr.-Oel LS 90 - 1 L (VE 12 Stück);1 L;
1223302-004-01-999;6.99;8;9;RAVENOL Sperrdiff.-Getr.-Oel LS 90 - 4 L (VE 4 Stück);4 L;
1223302-010-01-999;6.99;8;9;RAVENOL Sperrdiff.-Getr.-Oel LS 90 - 10 L;plast;
1223302-B20-01-888;6.99;8;9;RAVENOL Sperrdiff.-Getr.-Oel LS 90 - 20 L Bag in Box;bag;
1223102-001-01-999;5.99;8;9;RAVENOL Getriebeoel MZG SAE 90 GL-4 - 1 L (VE 12 Stück);1 L;
1223102-004-01-999;5.69;8;9;RAVENOL Getriebeoel MZG SAE 90 GL-4 - 4 L (VE 4 Stück);4 L;
1223102-010-01-999;5.5;8;9;RAVENOL Getriebeoel MZG SAE 90 GL-4 - 10 L;plast;
1223102-B20-01-888;5.5;8;9;RAVENOL Getriebeoel MZG SAE 90 GL-4 - 20 L Bag in Box;bag;
1223210-001-01-999;6.49;8;9;RAVENOL Getriebeoel EPX SAE 140 GL-4/GL-5 - 1 L (VE 12 Stück);1 L;
1223210-004-01-999;6.49;8;9;RAVENOL Getriebeoel EPX SAE 140 GL-4/GL-5 - 4 L (VE 4 Stück);4 L;
1223210-010-01-999;6.49;8;9;RAVENOL Getriebeoel EPX SAE 140 GL-4/GL-5 - 10 L;plast;
1223210-020-01-999;6.49;8;9;RAVENOL Getriebeoel EPX SAE 140 GL-4/GL-5 - 20 L;plast;
1221111-001-01-999;15.99;8;9;RAVENOL Racing Gearoil - 1 L (VE 12 Stück);1 L;
1221111-004-01-999;15.99;8;9;RAVENOL Racing Gearoil - 4 L (VE 4 Stück);4 L;
1221111-B20-01-888;15.99;8;9;RAVENOL Racing Gearoil - 20 L Bag in Box;bag;
1221105-001-01-999;7.79;8;9;RAVENOL STF Synchromesh Transmission Fluid - 1 L (VE 12 Stück);1 L;
1221105-004-01-999;7.79;8;9;RAVENOL STF Synchromesh Transmission Fluid - 4 L (VE 4 Stück);4 L;
1221105-010-01-999;7.79;8;9;RAVENOL STF Synchromesh Transmission Fluid - 10 L;plast;
1221105-B20-01-888;7.79;8;9;RAVENOL STF Synchromesh Transmission Fluid - 20 L Bag in Box;bag;
1182101-001-01-999;8.49;8;9;RAVENOL FORKOIL Ultra Light 2,5W - 1 L (VE 12  Stück);1 L;
1182102-001-01-999;7.19;8;9;RAVENOL FORKOIL Light 5W - 1 L (VE 12  Stück);1 L;
1182104-001-01-999;4.99;8;9;RAVENOL FORKOIL Medium 10W - 1 L (VE 12 Stück);1 L;
1182105-001-01-999;5.19;8;9;RAVENOL FORKOIL Heavy 15W - 1 L (VE 12 Stück);1 L;
1182106-001-01-999;5.59;8;9;RAVENOL FORKOIL Very Heavy 20W - 1 L (VE 12 Stück);1 L;
1340109-090-04-016;2.99;8;9;RAVENOL Kupferpaste - 0,09kg  = 90 g (VE 16 Stück);tuba;
1340107-001-03-000;6.09;8;9;RAVENOL KFZ-Fließfett ZSA - 1 kg (VE 12 Stück);1 kg;
1340107-005-03-000;6.09;8;9;RAVENOL KFZ-Fließfett ZSA - 5 kg (VE 1 Stück);vedro;
