kod;cena za l kartonovy;supplierId;typeid;popis;balenie;kategoria
1181100-001-01-999;6.3;8;9;RAVENOL SSF Spec. Servolenkung Fluid - 1 L (VE 12 Stück);1 L;VW, FORD, VOLVO , G002 000, G004 000, farba: ZELENÁ
1181100-004-01-999;6.2;8;9;RAVENOL SSF Spec. Servolenkung Fluid - 4 L (VE 4 Stück);4 L;
1181100-010-01-999;5.9;8;9;RAVENOL SSF Spec. Servolenkung Fluid - 10 L;plast;
1181100-B20-01-888;5.6;8;9;RAVENOL SSF Spec. Servolenkung Fluid - 20 L Bag in Box;bag;
1181110-001-01-999;5.5;8;9;RAVENOL LHM PLUS Fluid - 1 L (VE 12 Stück);1 L;PSA , farba: ZELENÁ
1181110-010-01-999;5.2;8;9;RAVENOL LHM PLUS Fluid - 10 L;plast;
1181110-B20-01-888;5.2;8;9;RAVENOL LHM PLUS Fluid - 20 L Bag in Box;bag;
1181000-001-01-999;5.75;8;9;RAVENOL Hydraulik PSF Fluid - 1 L (VE 12 Stück);1 L;PSF-III , farba: ČERVENÁ
1181000-010-01-999;5.5;8;9;RAVENOL Hydraulik PSF Fluid - 10 L;plast;
1181000-B20-01-888;5.5;8;9;RAVENOL Hydraulik PSF Fluid - 20 L Bag in Box;bag;
1181002-001-01-999;7.49;8;9;RAVENOL Elektro-Hydraulik E-PSF Fluid - 1 L (VE 12 Stück);1 L;PSA S71 2710, f: PRIESVITNÁ
1211123-001-01-999;6.99;8;9;RAVENOL PSF-Y Fluid - 1 L (VE 12 Stück);1 L;farba: ŽLTÁ
1211123-B20-01-888;6.5;8;9;RAVENOL PSF-Y Fluid - 20 L Bag in Box;bag;
1211128-001-01-999;9.99;8;9;RAVENOL Transfer Fluid DTF-1 - 1 L (VE 12 Stück);1 L;X-Drive , TF-0870
1211128-004-01-999;9.6;8;9;RAVENOL Transfer Fluid DTF-1 - 4 L (VE 4 Stück);4;
1211128-010-01-999;9.3;8;9;RAVENOL Transfer Fluid DTF-1 - 10 l;plast;
1211128-020-01-999;9.3;8;9;RAVENOL Transfer Fluid DTF-1 - 20 l;plast;
1211140-001-01-999;9.9;8;9;RAVENOL AWD-H Fluid - 1 L (VE 12 Stück);1 L;PRE HALDEX SPOJKY
1211140-300-05-999;5.9;8;9;RAVENOL AWD-H Fluid - 300 ml (VE 12 Stück);kartuša;
1211140-B20-01-888;8.5;8;9;RAVENOL AWD-H Fluid - 20 L Bag in Box;bag;
1211141-001-01-999;13.9;8;9;RAVENOL AWD-TOR Fluid - 1 L (VE 12 Stück);1 L;PRE POHONY TORSEN
1211141-004-01-999;13.2;8;9;RAVENOL AWD-TOR Fluid - 4 L (VE 4 Stück);4;
1211141-020-01-999;12.5;8;9;RAVENOL AWD-TOR Fluid - 20 L;plast;
1211113-001-01-999;6.99;8;9;RAVENOL DPS Fluid - 1 L (VE 12 Stück);1 L;Honda DPSF2 , f: ČERVENÁ
1211113-010-01-999;6.5;8;9;RAVENOL DPS Fluid - 10 L;plast;
1211113-B20-01-888;6.5;8;9;RAVENOL DPS Fluid - 20 L Bag in Box;bag;
1181201-001-01-999;6.65;8;9;RAVENOL GHA-F Gearbox Hydraulic Actuator Fluid - 1 L (VE 12 Stück);1 L;farba: ZELENÁ
1181201-B20-01-888;6.15;8;9;RAVENOL GHA-F Gearbox Hydraulic Actuator Fluid - 20 L Bag in Box;bag;
1222103-001-01-999;9.9;8;9;RAVENOL MDL Multi-disc locking differentials - 1 L (VE 12 Stück);1 L;LAMELOVÉ DIFERENCIÁLY, f: ŽLTÁ
1222103-B20-01-888;9.7;8;9;RAVENOL MDL Multi-disc locking differentials - 20 L (Bag in Box);20;
1221104-001-01-999;7.49;8;9;RAVENOL MTF-3 SAE 75W - 1 L (VE 12 Stück);1 L;VW G 055 532 A2, JWS2271
1221104-004-01-999;7.29;8;9;RAVENOL MTF-3 SAE 75W - 4 L (VE 4 Stück);4 L;
1221104-010-01-999;6.99;8;9;RAVENOL MTF-3 SAE 75W - 10 L;plast;
1221104-B20-01-888;6.99;8;9;RAVENOL MTF-3 SAE 75W - 20 L Bag in Box;bag;
1221103-001-01-999;7.39;8;9;RAVENOL MTF-2 SAE 75W-80 - 1 L (VE 12 Stück);1 L;API GL-4, BMW MTF LT-2
1221103-004-01-999;7.19;8;9;RAVENOL MTF-2 SAE 75W-80 - 4 L (VE 4 Stück);4 L;
1221103-010-01-999;6.99;8;9;RAVENOL MTF-2 SAE 75W-80 - 10 L;plast;
1221103-B20-01-888;6.99;8;9;RAVENOL MTF-2 SAE 75W-80 - 20 L Bag in Box;bag;
1222100-001-01-999;5.3;8;9;RAVENOL Getriebeoel PSA SAE 75W-80 - 1 L (VE 12 Stück);1 L;API GL-4, PSA STANDARD B 71 2315
1222100-004-01-999;5.2;8;9;RAVENOL Getriebeoel PSA SAE 75W-80 - 4 L (VE 4 Stück);4 L;
1222100-010-01-999;4.99;8;9;RAVENOL Getriebeoel PSA SAE 75W-80 - 10 L;plast;
1222100-B20-01-888;4.99;8;9;RAVENOL Getriebeoel PSA SAE 75W-80 - 20 L Bag in Box;bag;
1221100-001-01-999;6.99;8;9;RAVENOL SSG Spec Synt LKW Getriebeöl SAE 75W-80 - 1 L (VE 12 Stück);1 L;API GL-4, DAF, VOLVO
1221100-004-01-999;6.79;8;9;RAVENOL SSG Spec Synt LKW Getriebeöl SAE 75W-80 - 4 L (VE 4 Stück);4 L;
1221100-010-01-999;6.4;8;9;RAVENOL SSG Spec Synt LKW Getriebeöl SAE 75W-80 - 10 L;plast;
1221100-B20-01-888;6.2;8;9;RAVENOL SSG Spec Synt LKW Getriebeöl SAE 75W-80 - 20 L Bag in Box;bag;
1221100-D60-01-888;5.99;8;9;RAVENOL SSG Spec Synt LKW Getriebeöl SAE 75W-80 - 60 L;sud;
1221102-001-01-999;6.99;8;9;RAVENOL MTF-1 SAE 75W-85 - 1 L (VE 12 Stück);1 L;API GL-4, API GL-5
1221102-004-01-999;6.89;8;9;RAVENOL MTF-1 SAE 75W-85 - 4 L (VE 4 Stück);4 L;
1221102-010-01-999;6.6;8;9;RAVENOL MTF-1 SAE 75W-85 - 10 L;plast;
1221102-B20-01-888;6.6;8;9;RAVENOL MTF-1 SAE 75W-85 - 20 L Bag in Box;bag;
